chave,numero_nf,acao,status_meudanfe,emitente,emitente_cnpj,destinatario,destinatario_cnpj,valor_total,itens
35260721101478000188550010000856721524285020,85672,criada,OK,COMERCIAL LELONG DO BRASIL EIRELI - EPP,21101478000188,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000129,151.78,1
35231219712500000184550010000031281111242309,3128,criada,OK,Rochas Etiquetas Embalagens Ltda,19712500000184,FACIL ATACADO COMERCIO ATACADISTA DE VARIEDADES LTDA,50767035000129,1045.8,1
